incidente,latitud,longitud,codigo_cierre,clas_con_f_alarma
Robo-Vehiculo con Violencia,19.526869,-99.147206,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.241917,-99.238905,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34571996,-98.98152984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.27421001,-99.22691988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.369592,-99.04844,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.27421001,-99.22691988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.44818001,-99.06404004,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28838996,-99.18357012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47546,-99.16278012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.396741,-99.211547,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40987997,-99.06094008,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30539996,-99.07278984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.549733,-99.15736,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.26594999,-99.22799988,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.341,-99.20820996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48500999,-99.07016004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49271003,-99.18731016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45167003,-99.09077004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33270002,-99.12004992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.30802004,-99.04458996,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39731003,-99.09322992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46124999,-99.19428012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.40518998,-99.20156004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49243,-99.120575,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39618998,-99.08290008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35909,-99.21832992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.52467002,-99.17372988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46125998,-99.19365984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35714996,-99.04007016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36725003,-99.09667008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.497934,-99.184423,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49567004,-99.06648984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34163999,-98.99070012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46125998,-99.19365984,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46654001,-99.16076988,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.46149002,-99.09843012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.51872003,-99.15743016,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.26624996,-99.16106004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48440996,-99.19364004,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.3788,-99.196716,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48868001,-99.07895016,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.503682,-99.087869,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37357001,-99.11063988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49419998,-99.17011008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.34658,-99.25416,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.33326999,-99.03693996,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47155004,-99.13214988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.28215998,-99.13885992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35623997,-99.30051,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.29965004,-99.08319996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.48868001,-99.07895016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36305999,-99.11184012,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.51832997,-99.12831012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37642004,-99.22101984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36992996,-99.21390984,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.301971,-99.08282,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.36305999,-99.11184012,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35278001,-99.10743984,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.54268001,-99.14942988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35967,-99.203158,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.415946,-99.090498,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.39301001,-99.08499996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.45224999,-99.10820016,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.328303,-99.10472,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.21566996,-98.98138008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.43652996,-99.09174996,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.50192,-99.08854992,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.259197,-99.004595,N,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.38232998,-99.20917008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47489003,-99.13028004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32595002,-99.15612012,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.35198999,-99.00892008,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.336072,-99.204233,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.49672997,-99.18486,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.32512004,-99.05114988,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37745999,-99.19370988,D,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.42981002,-99.09808992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.47126996,-99.15028992,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.54629,-99.14027004,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.392741,-99.061637,A,DELITO DE ALTO IMPACTO
Robo-Vehiculo con Violencia,19.37105001,-99.16117992,A,DELITO DE ALTO IMPACTO
